X	Y
1,95521119	7,91521132
2,91051822	6,91865319
-4,03436057	7,95360511
2,92700347	0,92924228
-0,07806016	7,95256695
2,93727657	4,98967399
-5,87016284	3,01605289
-5,63691092	2,91354491
-5,4464175	2,96664307
-5,2414279	2,962212
-5,03283713	2,97041969
-2,06428182	-0,82852282
-2,05369108	-0,67467869
-2,03669132	-0,47143656
-2,06517462	-0,29902885
-2,04931303	-0,07146945
-1,93122185	3,44839177
-2,06094086	7,96300685
-2,09194588	8,15877293
-2,02926764	8,35837377
-2,07637676	8,55758032
-2,05714487	8,74116122
-0,09103771	1,54010453
2,97578823	2,98287612
3,16274411	2,93753887
3,30081228	2,9516908
3,5090799	2,92709735
3,73373461	2,9535928
-0,26841829	8,51609781
0,7634119	5,02310512
1,58943114	4,22035265
3,52020626	4,73273837
-4,66946437	6,74022414
1,75117507	0,30742276
2,18352801	7,75725402
2,74397989	7,1468714
0,95974396	4,88366957
1,34071046	4,47997811
2,30094282	7,56424086
2,5124068	7,31632773
-1,86934281	2,79364993
-0,82437071	1,76043304
1,14000432	4,65796014
-1,8714	2,84009931
-0,6135909	1,66412747
-4,23763406	7,31198389
2,34840026	0,73289933
-1,81825071	3,069433
-1,50175478	2,24094483
-1,21757546	1,9792819
-0,48197272	1,68020228
-1,35367062	2,05322057
-1,84797238	3,21924791
-0,2523443	1,68046483
-5,26339006	5,905418
-5,03746776	6,14670319
0,98702884	-0,28491102
1,11548372	-0,02290187
-1,89631668	3,46417081
-1,63867422	2,41861345
-1,09731456	1,87159984
-0,09831641	1,64278082
-4,4910413	6,94146495
-4,05449492	7,71925102
1,96014213	0,53941006
2,78816326	0,96905774
-0,02686824	8,18773472
3,10365444	4,96411266
-0,23643071	8,71506222
3,72519339	4,7501185
-1,87458587	3,65218134
0,10686227	1,67086104
-1,85536424	3,80380936
-1,62363383	2,60615312
-1,42533377	2,20666773
-1,24923371	2,05904731
-0,82616897	1,84298927
0,32405577	1,62368955
-5,45419379	5,73747725
-4,85647514	6,36593799
0,71576468	-0,45594065
1,38954812	0,11732129
-1,83626751	4,01940315
0,58860052	1,60063018
-1,73551181	4,2793129
-1,61854561	2,85622276
-0,61215679	1,84421912
0,76022396	1,73803321
-1,45276912	2,41376871
-1,06869577	2,03626739
-5,05268162	2,78785208
-2,23409558	-0,02471534
-5,61549086	5,51728339
-4,65003816	6,52303755
0,55865719	-0,63564534
1,58254191	0,3005763
0,7355649	5,28639405
1,72919573	4,25324981
-5,25977994	2,70145907
-2,27210719	-0,2419266
-1,65112356	3,08587084
-1,24944966	2,21583075
-0,49223534	1,81272456
-5,4125528	2,75122557
-2,27664528	-0,45276166
-1,42991879	2,67048077
-0,85766248	2,00971572
-5,6531105	2,70453539
-2,23513474	-0,62514329
-1,62627182	3,28197402
-0,27017887	1,84161255
-4,26648623	7,17379737
2,16384291	0,74209762
-5,86508435	2,87873577
-2,28320279	-0,81803265
-1,69407916	3,41070302
-1,25565886	2,46617389
-1,04945076	2,22505585
-0,07500993	1,838109
-4,06893659	7,58817618
2,5194258	0,98781249
-0,06207909	8,31992153
0,91855322	5,04572054
1,54245813	4,48804948
