X	Y
3,91434526	4,93726414
4,9284827	3,96180285
7,16625964	12,4469116
7,43560796	11,95319439
4,94646595	7,94073945
7,91949616	4,96367757
9,93521507	3,96249351
-2,59029442	3,93725923
-2,01597022	4,95000566
3,93835916	-2,55881001
4,9630078	-2,09831307
7,43337543	7,92484625
7,95134768	7,44706024
10,30193777	12,43366623
11,91718203	4,95392567
12,45232681	4,72102097
12,43978665	10,38964881
12,90746483	9,93507289
1,96013523	4,97556885
4,93427045	1,90987256
4,94635432	5,90702414
5,92017475	4,9316578
7,43924221	3,91721233
7,97932406	12,44789654
4,95268899	9,96111665
9,53559549	12,40182033
9,93194702	11,9024153
-3,83405587	-0,02491813
-3,72611747	-0,03328877
-3,6725723	-0,02112514
-3,59062644	-0,02516074
-3,47405033	-0,05728463
-3,33577243	-0,0762254
-3,27313878	-0,06313609
-3,11148655	-0,08679084
-3,04989147	-0,01292905
-2,91544446	-0,03646779
-0,03474233	-3,88318982
-0,03309414	-3,7353157
-0,03801443	-3,63543478
-0,0705979	-3,56599217
-0,09276423	-3,41507699
-0,02999591	-3,3161458
-0,0350105	-3,223731
-0,07337983	-3,15350947
-0,03542296	-3,01841772
-0,09764112	-2,94425144
-0,0640779	1,96485812
-0,03408297	4,88081398
-0,04032211	4,95451477
-0,0301532	5,05225473
-0,02125681	5,10985203
-0,05715457	5,24187623
-0,03408471	5,34640844
-0,08140677	5,47377193
-0,08869779	5,52518206
-0,09453781	5,63207359
-0,05055392	5,72319911
1,94239798	-0,05727006
4,82595592	-0,03288402
4,94208059	-0,06750663
5,00384538	-0,04951147
5,10240706	-0,07819732
5,23377718	-0,05102086
5,37809919	-0,08752857
5,45019034	-0,05340728
5,52428812	-0,02552789
5,60332315	-0,07715442
5,7368535	-0,06861239
9,91848667	6,92103587
12,42379488	5,55522407
12,43628358	11,10644147
8,74237933	12,41898992
12,66829838	6,24703433
13,66625318	7,20361914
-3,73219387	2,66471654
-2,79367723	3,64309616
2,6241226	-3,78236067
3,63496749	-2,75760592
4,52522355	8,62228436
8,14432521	6,07480618
7,80899303	3,74704708
6,81478701	5,72077186
9,07633903	3,26751466
8,6384112	6,86304602
1,6826718	5,80207199
5,82570982	1,62644842
7,68350681	3,87210528
8,12311459	12,18300208
4,37902193	9,03375722
7,68088838	5,11344748
7,57836122	7,81520692
7,86144818	7,51976597
13,02930263	8,30910912
6,84426261	11,57771254
9,06971458	5,42865756
4,42088935	8,8234286
6,4099802	7,61104905
7,63613089	6,46747379
9,01803103	6,50615326
7,6566319	7,70447657
7,7823225	7,67589845
13,73048596	8,67704987
6,12899273	11,27422788
9,05542035	7,65857484
1,85062942	5,27470329
5,2671831	1,84582776
9,64123519	3,06782137
8,58439139	12,78559943
-3,24029527	3,08313141
-3,11964956	3,17034936
3,01100509	-3,28121956
3,18138739	-3,15189959
13,82087404	7,14933242
9,54679163	7,2274091
1,77233503	5,57577759
2,78162372	3,52892309
3,51856522	2,72194332
5,58075254	1,72978278
4,60628511	6,35559567
6,36194165	4,67645086
9,38306892	3,14490912
4,02437092	4,87592993
4,80747018	4,02168051
5,07080459	5,85466533
5,84251523	5,00780981
4,21410858	6,96875329
6,94097936	4,27359741
8,56640919	3,43578906
-2,29636963	4,41301049
4,48415248	-2,25736857
-3,3531381	2,9532662
-3,07058252	3,25101827
2,94987327	-3,37081747
3,25653715	-3,04716183
12,98341875	7,68362238
9,06058629	12,05227573
12,21232361	5,60457342
-2,34090872	4,20528388
4,20271528	-2,39245144
13,14298676	9,08868747
-2,64301681	3,70803272
3,78880185	-2,61241479
6,71154343	5,871087
11,24596122	12,34626104
12,32869631	11,20052272
-2,1891019	4,67301123
4,64724492	-2,11194984
0,064535	1,30749141
1,31751986	0,05209858
-3,46724315	2,84479344
-2,93374227	3,36780805
2,81554477	-3,42076632
3,33289387	-2,97746423
9,62825814	6,10529575
2,51147297	3,88841621
3,87009812	2,52876941
6,02663852	11,45078254
7,2775851	5,45249617
0,08171867	1,40595787
1,4359883	0,06480913
2,87805563	3,47920605
3,47553445	2,81249326
4,46501004	6,6563967
6,61983193	4,45321669
13,6227808	9,45479141
8,46479726	5,84083358
13,42236524	8,80261801
13,50016389	8,06274122
6,55423746	7,53060405
7,51171015	6,50175568
0,00543201	1,57467993
1,52353898	0,03008589
4,1161533	4,7651451
4,74908009	4,128138
5,12535218	5,7604811
5,7281303	5,13030449
-2,473381	4,06206576
4,01150027	-2,49482526
9,30748548	6,34536213
8,78245007	5,68565525
11,3192904	4,38910502
13,0627278	10,67838756
0,06556469	1,63804738
1,60917328	0,06797571
10,22218033	3,82206592
4,80738179	8,1432556
11,78473081	5,06222571
0,04697113	1,73672045
1,75061659	0,03783325
10,0440592	11,87365392
0,08489257	1,88263261
1,833901	0,03199285
5,92875328	11,64960479
6,90596031	8,54695796
8,53026294	6,91105619
-2,07956597	4,81445985
4,80701611	-2,07863982
1,97539803	5,01468285
2,96860377	3,34220741
3,3694857	2,97466561
5,02994485	1,91146391
0,01962854	1,90412055
1,97239335	0,00070397
-3,54806977	2,71387529
-2,8900025	3,40314594
2,75110681	-3,56086873
3,47257769	-2,89579249
6,62002211	5,98611396
8,91553604	7,73374655
12,97191581	5,31287197
10,40400396	12,38631174
12,38493062	10,46939048
0,04772345	2,00143509
2,06912828	0,07038211
4,2851648	4,66752477
4,61509932	4,23906121
5,28077605	5,68634436
5,68124152	5,24571634
5,84184728	11,80620596
8,01551445	6,17874286
11,31612742	12,20745768
12,23916043	11,37893477
0,02244521	2,18902359
2,14713533	0,04866356
0,08512976	2,22884961
2,26885149	0,00636084
3,00313613	3,2656946
3,26948049	3,06276765
4,35386943	4,50654014
4,52559011	4,37086483
4,7404043	6,22037766
5,36462449	5,53922618
5,58338889	5,36303872
6,22671653	4,71448808
0,05814039	2,31763512
0,17973158	1,18696937
1,11579378	0,16205295
2,34830302	0,04484441
3,16091048	3,10471263
4,17234089	7,18765606
7,10139096	4,13982841
8,35780052	3,51414468
6,72742714	11,73971769
4,48529666	4,47806461
-2,52559202	3,85150522
3,83626497	-2,56213284
5,44068343	5,40320207
6,67192185	7,40510689
7,40983215	6,63011805
0,02161948	2,40576438
2,40740116	0,07957743
6,04077307	6,58132889
6,57502923	6,08092794
1,72559796	5,66700719
1,88496438	5,31438036
2,65732683	3,78143136
3,77604233	2,60033791
5,36953293	1,81141479
5,66113615	1,74912338
0,00631038	2,5747695
0,10337199	1,27443027
1,27295655	0,15962773
2,52402503	0,00885259
8,84864319	3,3023008
12,25545725	4,82618861
7,51956202	5,27989536
10,58539693	3,77114673
-3,65507042	2,60915621
-2,73389712	3,54439311
2,64089136	-3,65846172
3,56240131	-2,75198226
0,11692371	1,32136069
1,37260728	0,16496931
7,30044977	12,17178878
9,61653318	12,36080549
12,86026245	10,07004148
9,88143464	7,08021476
7,86832298	5,00513684
-2,98057588	-0,1357726
-0,19927307	-2,92509427
2,06241243	4,80117798
4,88804372	2,07101326
11,40319703	12,14672497
12,16337596	11,48911839
12,82174901	6,95637354
9,46690375	7,35917066
0,20872195	0,91448223
0,91610414	0,24364817
-3,02227973	-0,18296518
-0,13816046	-3,09566216
0,16350086	1,44762324
1,43482274	0,17691143
6,13901526	6,48542687
6,45071378	6,13609434
8,92008515	6,60367915
11,65814443	4,28430368
-3,19347909	-0,16436712
-0,13383283	-3,15042745
7,80190737	8,8125322
8,82089248	7,82189918
13,15469332	7,52187222
-2,2665363	4,35661552
4,36266224	-2,21757736
-3,2817636	-0,17178414
-0,11902616	-3,2577716
0,1799414	1,57200337
0,38235466	0,72160709
0,70064685	0,38512634
1,53362185	0,15455302
4,74238144	8,33639486
6,23164174	6,31615715
6,31981452	6,21831003
7,11526656	5,55673493
11,10672615	3,56803746
5,78205069	10,31845728
6,74373042	7,37086471
7,36738109	6,7023829
9,36650887	12,73042351
12,7808215	9,35225415
7,82187827	12,62555411
-3,32368067	-0,17902226
-0,17190089	-3,38739745
0,24660242	1,03794376
1,05196937	0,23941479
10,8549198	3,61241317
-2,33459331	4,11785767
-2,13307833	4,58041535
4,17790238	-2,37353686
4,57160137	-2,13584894
4,01744647	7,32787548
7,36017555	4,03960403
8,17809233	3,60366481
-3,44186004	-0,19672866
-0,15993898	-3,45944357
0,10340535	1,67004292
1,67161473	0,10988854
13,28255136	9,76527752
7,01944801	8,42370788
8,42365637	7,08108329
0,47093834	0,60202515
0,65100492	0,44809598
-3,5963664	-0,17327837
-0,13073345	-3,52891149
11,58226766	12,02754799
12,04686143	11,52705976
4,5061489	6,55710309
6,54888906	4,51476667
9,14704581	3,26664449
2,76279294	3,64211932
3,60449618	2,74988311
0,23200821	1,18002008
0,53353812	0,50222852
1,17468584	0,20762669
-3,68993129	-0,19315993
-0,19410684	-3,6253016
0,13462301	1,7095041
0,33980552	0,81850476
0,83991535	0,33112035
1,76670209	0,12137368
4,31599838	6,8776932
6,8203336	4,30843286
8,86244697	12,35748431
-3,79970983	-0,19851951
-0,14355903	-3,72072929
6,84719215	7,2833859
7,25387795	6,86252145
10,51323719	12,22826244
12,22830199	10,58803992
-3,76959636	2,56616506
-2,69310105	3,62629997
2,58002132	-3,7558671
3,65015329	-2,66837756
-3,87203617	-0,18631686
-0,17392164	-3,89716867
0,15671039	1,84283834
1,85056321	0,15905941
4,85251412	6,16943983
6,11239458	4,82147664
9,74458621	3,05907662
-3,19686467	3,03233547
3,04671067	-3,11008404
0,25954569	1,2089813
1,2466719	0,27475093
13,0113287	6,88339636
13,23187376	8,25628572
11,64933576	11,9113775
11,98258398	11,60195965
9,17337353	11,97067809
10,06254622	3,91053144
-3,22661714	2,97268432
-3,08891293	3,14433949
2,97654045	-3,25227015
3,10894721	-3,03617707
7,52549285	3,91607504
7,91586451	3,70576201
4,7043191	10,41044393
6,25904369	7,9005633
6,96308837	7,12625922
7,17142248	6,91488838
7,98967486	6,25702105
8,98241103	5,58553978
11,18445504	4,45717296
0,15197347	1,96945333
0,34463777	0,9849583
0,41923403	0,75728737
0,71287662	0,47428458
0,91072693	0,34042038
1,96692079	0,18101476
-2,45755447	3,94512255
-2,01966431	4,76985186
3,98657479	-2,42779238
4,7198496	-2,07539439
1,98938798	5,1421468
5,15140306	1,95837895
9,41133052	3,18150229
13,72713872	7,90583131
6,6417821	11,97872385
13,31890832	5,9200384
8,38696521	5,93151101
11,95212715	4,16212927
7,98023742	8,71218185
8,76142504	7,9534708
12,73172505	5,41569014
12,98367804	10,71671363
7,03545508	7,03080068
13,6899549	6,55252356
7,70278414	3,81455707
0,28889222	1,3529984
0,58251257	0,612324
0,6144571	0,532462
1,32560522	0,22721821
0,17845017	2,01309354
2,01412493	0,11853984
4,28680226	9,31054502
4,68480537	8,56293868
5,67683558	10,51459789
11,7360089	11,87189639
11,86027126	11,71273751
-3,38755484	2,81226523
-2,99425533	3,2876519
2,80907438	-3,39640056
3,22769315	-2,95919901
8,2058306	12,06121662
7,50563275	11,87640961
13,20164846	6,77638441
8,01040892	12,3192329
5,16866975	9,67494561
1,7529268	5,78177668
2,83878845	3,57294332
