X	Y
3,7115318980	5,1192264722
3,8036277282	4,1523637193
-4,1497294149	0,9608585637
-2,7130387931	0,4107805256
1,5690771315	5,0243526178
2,0534737770	5,3054861761
-2,8167862771	1,2494342430
-2,0782228058	-0,5388354431
1,8524459022	3,3651511833
3,7728954806	3,8289467637
3,0390043492	3,5834873827
-1,7408454989	0,3820278756
1,8080163109	3,4578821778
-2,2719663623	-0,2381646491
-2,4236889495	0,5124145050
1,5563691183	3,3192536583
-3,6002657457	0,1844019487
-3,4432329146	0,9833492447
2,1588926369	3,9050405799
3,4586987098	4,9074501827
-2,0791029889	0,1194431242
3,9746619387	4,5280716089
3,5565377895	5,0665312117
-4,1025049180	-0,2900360125
-2,1421799407	-0,6446264665
3,6795168660	4,8768208714
-1,4667677481	0,2083382152
3,7115637100	3,7973909826
-2,0336289986	-0,6843655975
-2,5836484683	0,9705837985
1,7916088147	4,6239860746
2,8674494616	4,5467175709
4,1280805117	4,1058608547
-3,0710196625	0,9677296822
3,9975217820	4,0521397672
-3,3705471842	0,1374121496
-2,2500550004	0,7614753789
-2,1643162584	-0,1887723493
-3,0530320962	-0,1868188187
-2,0901452358	0,2289602605
-1,2773592558	0,5296154700
-3,9355808420	1,2302126789
-4,0787302243	-0,1754568330
-3,4232947939	-0,2306344125
-4,0342826604	-0,0331852878
3,1779322855	4,7353673211
2,6129181793	4,3373095129
2,7414651798	4,7856593056
3,5430029260	3,4547644984
2,2738209833	4,0863230372
2,1807018841	5,0462330576
-1,3069007355	-0,0290514953
3,1203787721	5,2183209916
3,0669287090	5,0002485870
2,4182149626	4,5316990717
3,5094338401	4,2574161905
-3,2408547593	0,1010117501
-4,1458381302	-0,5339551893
-2,9305121412	0,2497115790
-3,5681200284	1,3122518247
-4,2339752687	0,6729499900
-1,7560540524	0,6477687391
3,1741368576	4,7641299308
1,9848714475	4,2029005560
-4,2172736612	0,3305202903
-3,2915449876	-0,4800690098
1,5804997342	5,2185339057
-1,9393042034	1,0658506591
-1,8159773387	0,4925615678
-4,1754326650	-0,1340374580
-1,9815431716	0,3747738857
1,5014006986	3,9902155079
3,4881221707	5,0397774241
3,7785914751	3,6392846492
3,8914740039	3,9448499852
3,6416228115	3,5360294941
3,7952862944	4,4034649270
-3,3212085827	0,0525224064
3,7747602941	4,5878214871
-1,8715371894	1,1898893848
1,5163366902	3,3721194190
-3,2871592106	0,3904741251
3,7383215900	4,6349558001
2,5873295325	3,3747423276
2,0691971881	4,7675816354
-1,8739438568	0,8825600268
-2,3451965997	0,3870250509
3,5149592907	3,5897552661
1,5680377840	3,8368863534
-2,0174355694	-0,0820998340
-2,5358888251	1,0266759985
2,9333895575	5,2003677734
-3,3861594453	1,0492088237
2,3199952356	3,7082609556
-3,6418099653	-0,4554579608
3,1804745383	3,6293655277
2,9798630918	4,7572311740
-2,0362308973	-0,2517373448
2,1898140678	4,2098273954
-1,4821460890	0,0317122633
1,7186321331	3,6196079510
-1,4914741784	1,0475214176
2,4697480904	4,6088394981
-3,5696295063	1,0600127316
-3,4291240852	1,1403078689
2,9671479476	3,3206955062
-1,7242924079	0,5330281696
1,3675953060	3,6005789606
3,3033801234	3,8170358645
-1,9722640273	-0,1273041168
-2,0109428013	-0,4784114995
-4,2207526352	-0,4688163595
1,4148365131	3,5433717544
3,6650980768	3,9103098236
4,1340656942	4,9947954340
2,7791628605	4,6295099529
2,7042608422	4,3948224450
-2,6162127918	-0,5049679897
-2,9650749371	1,1961762253
-1,7624682955	0,9506191227
-2,7460879486	0,4002386019
-4,1522026163	-0,0336956063
4,0395492790	3,4821782541
-2,4170117008	0,7060875039
3,7640367434	3,5198781967
-3,6636896232	0,1153936766
1,5424825694	4,8084466105
4,0929514132	4,8918103851
1,5182386500	4,1407943317
3,8182581579	4,5338414325
-3,9407555082	0,2030526293
4,2129085003	4,5994523470
-3,4866957326	0,1860794539
-3,2492146303	0,1525085753
-2,8464843544	-0,2517364112
3,7316737037	5,0669703010
4,1156098307	3,8809333765
2,9731451391	4,3715860820
-1,6490243091	-0,3136703906
