X	Y
7,5223060023	11,1122921277
-9,7097754743	-0,8827527722
0,5170626652	-9,6574059720
1,6140332047	-8,9502194072
-8,6237404054	2,8358021963
0,2508579211	-11,3639518834
-9,7887452471	1,7419444430
8,6252633860	8,3685299942
1,3571458838	-8,9529161166
6,6308207424	12,1359974537
1,5816921510	-9,8345176230
7,2660546023	8,2074468176
-9,6843590611	-0,9455422864
0,3857333112	-9,4155483054
6,3272828620	8,0880044766
-9,4833357148	3,3752011581
6,9087810051	10,0642986014
-9,8989978465	2,8765121025
8,9233067319	9,5022331369
1,8883560962	-7,8306531355
7,9727129557	7,7996677517
7,3714594724	8,5300466300
1,2051303302	-8,7097167646
-11,0622330157	3,4500217663
7,3615494242	10,2538104533
-10,1993231725	-1,1338974782
0,9068843998	-7,1244625923
1,8088432443	-10,8565484619
-10,4557270500	0,0067014842
0,4517133831	-9,8021895752
-10,2825196040	0,3092224949
-10,9815941060	3,7698485515
-9,6740963548	3,4914217105
-11,0558222267	1,8060691296
9,0484290361	6,9594666115
6,9695477181	10,1587866435
1,0537704061	-6,5823929352
-8,5949830741	-1,1448391437
6,1577550699	11,7338449593
-8,8239825067	1,0473286510
1,1528463117	-9,1322000330
0,0119591754	-9,8955154025
7,1280261535	8,8861372331
0,0496920153	-11,9710118387
-9,3199910715	-0,7239915680
6,2278051156	10,5268592135
1,5283660754	-6,4378877683
1,5426363925	-11,5885651511
0,5961463653	-10,8460567117
-10,4192678930	3,7892550858
8,4696723350	8,7882511983
2,0980426973	-7,1974963189
6,4257669178	9,4470171531
8,3429541509	10,3366971737
6,6728240576	10,1574733604
0,2986365153	-8,1046286494
7,2390803882	11,4146852853
-10,8433158603	1,0979405886
1,1074124967	-9,4269079454
7,3313253838	11,6671867720
2,2946710142	-7,8379462430
1,7657147949	-6,8376154401
6,4936548773	10,8683005579
-9,7472799002	-0,3651860821
-9,0578614606	1,3304361534
-9,2112686964	3,0099549617
-9,8273649589	2,6102232868
6,9505631409	7,0558947520
-11,0413882921	2,2053243848
2,6164521455	-8,8906243966
8,7504344473	10,4399285339
7,8133051582	10,1457836145
-10,5526974780	1,9215693393
8,0218707342	7,1368054088
7,0811442296	10,5705693419
-9,8248405862	1,7877231902
1,0763520992	-6,6384670535
1,7464789088	-6,9421161198
-0,0233762270	-7,3706054449
9,0655447029	7,2764278801
6,1913845065	7,3987207354
1,9918376138	-9,4443355554
-10,4960277335	0,3081079486
1,5726112038	-8,7789391404
8,2265079465	9,4174608280
7,6475271811	7,6048148791
-8,5213308966	3,9425248310
-9,9141726860	3,1197138975
2,1536560602	-7,4486189430
-9,1764938469	-0,5633637406
2,7951299973	-11,4371899417
-9,2595621058	3,1032072629
2,0052292967	-12,0244457174
6,7721922943	11,0395382184
2,7790587086	-10,8849629403
